,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
703,2015-01-04,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,12.5533333333333,43.4266666666667,Unknown,1,0,2015,1,1,4,6,2015-01
702,2015-01-04,South East Asia,Singapore,Theft at sea,Tug,0,Off shore,1.3245,104.5415,Morning,1,1,2015,1,1,4,6,2015-01
701,2015-01-04,North Africa,Libya,Other maritime risk,Crude oil tanker,0,Anchorage,32.7801163888889,22.663078333333303,Afternoon,1,1,2015,1,1,4,6,2015-01
700,2015-01-06,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,13.253333333333302,42.9566666666667,Afternoon,1,0,2015,1,2,6,1,2015-01
699,2015-01-07,West Africa,Nigeria,Kidnap/ransom at anchorage,Unknown vessel type,0,Anchorage,4.63829722222222,6.81289666666667,Unknown,1,1,2015,1,2,7,2,2015-01
698,2015-01-08,South East Asia,Indonesia,"Failed attack, robbery",Chemical tanker,0,Anchorage,1.12166666666667,104.178333333333,Night,1,0,2015,1,2,8,3,2015-01
697,2015-01-08,South East Asia,Indonesia,Theft at sea,Tug,0,Off shore,1.19333333333333,103.64683333333299,Afternoon,1,1,2015,1,2,8,3,2015-01
696,2015-01-09,Americas,Colombia,Theft at anchorage,General cargo vessel,0,Anchorage,10.3051666666667,-74.44766666666669,Morning,1,1,2015,1,2,9,4,2015-01
695,2015-01-10,South East Asia,Indonesia,"Failed attack, robbery",Gas tanker,0,Anchorage,1.08,104.181666666667,Night,1,0,2015,1,2,10,5,2015-01
694,2015-01-11,West Africa,Nigeria,Hijacking at sea,Product tanker,0,Off shore,3.7333333333333303,4.98333333333333,Unknown,1,1,2015,1,2,11,6,2015-01
693,2015-01-12,Eastern Mediterranean,Iraq,Other maritime risk,Unknown vessel type,0,Unknown,30.030163611111103,47.933006388888906,Unknown,1,1,2015,1,3,12,0,2015-01
692,2015-01-13,North Africa,Libya,Other maritime risk,Unknown vessel type,0,Unknown,32.3161519444444,19.9401855555556,Unknown,1,1,2015,1,3,13,1,2015-01
691,2015-01-14,South East Asia,Indonesia,Armed robbery at berth,Tug,0,Berth,1.03433333333333,103.90833333333299,Night,1,1,2015,1,3,14,2,2015-01
690,2015-01-14,West Africa,Ghana,Armed robbery at sea,Bulk carrier,0,Off shore,3.4,1.35,Unknown,1,1,2015,1,3,14,2,2015-01
689,2015-01-15,West Africa,Cote D'Ivoire,Armed robbery at anchorage,Merchant vessel,0,Anchorage,5.22762583333333,-2.0099486111111102,Night,1,1,2015,1,3,15,3,2015-01
688,2015-01-17,West Africa,Ghana,Anti-piracy/naval operation,Product tanker,0,Off shore,5.3,0.33333333333333304,Unknown,1,0,2015,1,3,17,5,2015-01
687,2015-01-18,South East Asia,Singapore,Theft at sea,Bulk carrier,0,Off shore,1.11666666666667,103.516666666667,Morning,1,1,2015,1,3,18,6,2015-01
686,2015-01-18,West Africa,Nigeria,Other maritime risk,Unknown vessel type,0,Unknown,5.5077074999999995,5.5281830555555596,Unknown,1,1,2015,1,3,18,6,2015-01
685,2015-01-20,South East Asia,Indonesia,Armed robbery at anchorage,Other,0,Anchorage,-4.01518222222222,106.829119444444,Night,1,1,2015,1,4,20,1,2015-01
684,2015-01-20,West Africa,Cote D'Ivoire,Suspicious activity at sea,Supply vessel,0,Off shore,4.065,-2.16,Unknown,1,0,2015,1,4,20,1,2015-01
683,2015-01-21,West Africa,Liberia,Theft at berth,Product tanker,0,Berth,6.321189722222219,-9.19564111111111,Unknown,1,1,2015,1,4,21,2,2015-01
682,2015-01-22,South East Asia,Singapore,"Failed attack, robbery",Bulk carrier,0,Off shore,1.1,103.53333333333299,Night,1,0,2015,1,4,22,3,2015-01
681,2015-01-22,West Africa,Angola,Suspicious activity at sea,Unknown vessel type,0,Unknown,-10.475,6.57166666666667,Unknown,1,0,2015,1,4,22,3,2015-01
680,2015-01-22,South East Asia,Indonesia,Armed robbery at anchorage,Other,0,Anchorage,-4.15666666666667,106.93,Evening,1,1,2015,1,4,22,3,2015-01
679,2015-01-23,South East Asia,Singapore,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,1.29145944444444,103.749003333333,Unknown,1,0,2015,1,4,23,4,2015-01
678,2015-01-23,West Africa,Nigeria,"Failed attack, kidnap/ransom",Supply vessel,0,Unknown,3.5,5.56666666666667,Evening,1,0,2015,1,4,23,4,2015-01
677,2015-01-24,North Africa,Libya,Other maritime risk,Product tanker,0,Unknown,32.4772519444444,15.268981944444402,Unknown,1,1,2015,1,4,24,5,2015-01
676,2015-01-24,Eastern Mediterranean,Ukraine,Other maritime risk,Unknown vessel type,0,Unknown,47.11949722222221,37.6846505555555,Unknown,1,1,2015,1,4,24,5,2015-01
675,2015-01-24,East Africa,Oman,Suspicious activity at sea,Merchant vessel,0,Off shore,24.6166666666667,57.866666666666696,Unknown,1,0,2015,1,4,24,5,2015-01
674,2015-01-25,South East Asia,Vietnam,"Failed attack, robbery",Bulk carrier,0,Anchorage,10.1781666666667,107.035333333333,Morning,1,0,2015,1,4,25,6,2015-01
671,2015-01-28,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.04166666666667,103.65,Morning,1,1,2015,1,5,28,2,2015-01
670,2015-01-28,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,1.32316666666667,104.20583333333299,Evening,1,1,2015,1,5,28,2,2015-01
673,2015-01-28,West Africa,Cote D'Ivoire,"Failed attack, hijacking",Product tanker,0,Off shore,5.22,-3.9583333333333304,Night,1,0,2015,1,5,28,2,2015-01
672,2015-01-28,South East Asia,Indonesia,Theft at sea,Container ship,0,Off shore,1.1,103.53333333333299,Night,1,1,2015,1,5,28,2,2015-01
668,2015-01-29,South East Asia,Malaysia,Anti-piracy/naval operation,Product tanker,0,Off shore,1.7005,104.507666666667,Evening,1,0,2015,1,5,29,3,2015-01
669,2015-01-29,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,-5.98,106.918333333333,Night,1,0,2015,1,5,29,3,2015-01
666,2015-01-30,East Africa,India,Suspicious activity at sea,Merchant vessel,0,Off shore,7.9173,77.1186333333333,Unknown,1,0,2015,1,5,30,4,2015-01
667,2015-01-30,South East Asia,Indonesia,Hijacking at sea,Product tanker,0,Off shore,1.6092625,125.299941944444,Unknown,1,1,2015,1,5,30,4,2015-01
663,2015-01-31,West Africa,Benin,Hijacking at sea,Unknown vessel type,0,Off shore,4.7,2.5,Unknown,1,1,2015,1,5,31,5,2015-01
660,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.225,1.225,Evening,1,1,2015,1,5,31,5,2015-01
664,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15016666666667,103.45100000000001,Night,1,1,2015,1,5,31,5,2015-01
662,2015-01-31,West Africa,Togo,Hijacking at sea,Unknown vessel type,0,Off shore,4.45,1.9,Afternoon,1,1,2015,1,5,31,5,2015-01
665,2015-01-31,South East Asia,Indonesia,Armed robbery at sea,Bulk carrier,0,Off shore,1.15666666666667,103.45333333333299,Night,1,1,2015,1,5,31,5,2015-01
661,2015-01-31,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Anchorage,3.9166666666666696,98.7666666666667,Unknown,1,0,2015,1,5,31,5,2015-01
